source,app_name,app_id,review_id,review_title,review_text,rating,user_name,review_date,developer_response,country,extracted_at
Apple App Store,agora-ahorra-y-disfruta,1478814349,12974879215,Falla por actualización,Desde la actualización después de seleccionar tres o cuatro productos se pone una pantalla grisácea que me impide seguir avanzando y tengo que cerrar y volver a abrir para continuar. Pésimo.,2,{'label': 'Edulop18'},2025-08-04 13:21:59+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,12972727902,Mal,Hasta el quedo la actualización,5,{'label': 'Yiso21'},2025-08-03 23:19:42+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,12969258907,Pésimo app,"El servicio y atención es buena pero el aplicativo es muy malo. Me pidieron actualizar el app y ahora está peor, es una pena que tenga que usar otro app para comprar. Agrego productos y no se guardan en el carrito, imposible comprar, perdí el tiempo.",1,{'label': 'Gabi carrillo'},2025-08-03 02:27:44+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,12965653654,No dan solución,El producto es interesante y bueno pero no te brindan soluciones para recuperar tu cuenta Casi 1 año y sigo sin obtener alguna respuesta,1,{'label': 'Junior15304'},2025-08-02 04:39:36+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,12938669691,Error,"Hay un error con el app, no me deja agregar nada al carrito",1,{'label': 'Gretasm21'},2025-07-26 13:20:20+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,12922907935,Mala,Esta applicacion no está bien diseñada para ios solo me deja entrar eliminando cada vez la aplicación porque caso contrario me pide autenticar y luego validar y no se puede ingresar eliminando soporte de la app ha caducado y no dan solución,1,{'label': 'Luismaui'},2025-07-22 14:58:21+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,12920173543,Pésimo,Cada que quiero iniciar sesión con mis credenciales dicen que no existe y depuse cuando quiero registrarme me sale que ya está existe el usuario total decídanse si sí o si no,1,{'label': 'Erlinni'},2025-07-21 22:20:54+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,12892172415,Como concepto bien pero…,"La aplicación está muy mal desarrollada. El uso de webviews hace la experiencia pésima, además que varias cosas funcional mal, como las notificaciones, cambios de contraseña, etc",1,{'label': 'jflavio11'},2025-07-14 21:53:52+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,12883789667,NO AHORRAR!No utilizar para montos altos !!!,"Se bloqueo la cuenta, encima no cuenta con reconocimiento facial y me sale como si no existiera mi cuenta, fatal la App la idea era buena .",1,{'label': 'AngelHñ1215'},2025-07-12 17:32:06+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,12863524951,No me puedo registrar,"No Me puedo registrar a la app, cada que escanea mi DNI se queda en pantalla negra.",1,{'label': 'Arlexitop'},2025-07-07 14:59:59+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,12820949562,Terrible app,Se cae a cada rato y no deja hacer operaciones,1,{'label': 'VictorAAbarca'},2025-06-26 21:24:37+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,12810006812,No está optimizado para IOS,"Falla todo, desde el reconocimiento facial, hasta la ubicación.",1,{'label': 'Consumidor 2025'},2025-06-24 02:29:33+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,12802098564,No hay Inkafarma,"Desde hace 1 mes no me figura la tienda virtual de inkafarma, quiero realizar compras y solo me figura plaza vea y promart. Deberian poner mas cupones ya no ponen …",3,{'label': 'Zeladabei'},2025-06-21 23:46:18+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,12800926750,No puedo descargar la nueva versión,Me solicita actualizar pero no se puede,3,{'label': 'MiliRocio27'},2025-06-21 16:22:22+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,12796762771,No deja realizar operaciones,Demora demasiado y no envía el código para hacer un depósito o pago,2,{'label': 'Migceli'},2025-06-20 14:59:39+00:00,,pe,2026-06-16T15:55:16.694950
